business_name,contact_name,email,phone,ein,business_address,city,state,zip,ffl_license_number,ffl_license_type,ffl_expiry,sot_license_type,sot_tax_year,sot_period_start,sot_period_end,sot_control_number,sot_receipt_date,tax_exempt,sales_tax_id,notes,tier,verified,created_at
"Alpha 1 Concepts, LLC",,,(770) 676-1589,,,Newnan,GA,30263,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Alpha + Omega Firearms LLC,,,(636) 232-6026,,,Festus,MO,63028,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Alpha Outdoors, LLC.",,,(712) 584-2020,,,Spencer,IA,51301,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Amen Firearms Inc.,,,(248) 467-0410,,,Washington,MI,48094,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
American Family Pawn & Guns,,,(804) 598-7355,,,Powhatan,VA,23139,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
American Gunsmith LLC,,,(507) 421-2717,,,Rochester,MN,55901,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Amick’s Guns LLC,,,(803) 796-1376,,,Gaston,SC,29053,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Ammo Biz,,,(214) 799-8459,,,Whitewright,TX,75491,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Ample Arms,,,(385) 269-0011,,,West Point,UT,84015,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Anacortes Telescopes,,,(360) 588-9000,,,Anacortes,WA,98221,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Anchor Arms LLC,,,(270) 646-4711,,,Glasgow,KY,42141,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
A & P Armory,,,(832) 514-6797,,,Magnolia,TX,77353,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ARA inc.,,,(256) 882-1000,,,Huntsville,AL,35801,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Arapahoe road Guns & Ammo,,,(720) 592-4338,,,Lafayette,CO,80026,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Arclight Precision, LLC",,,(248) 895-4729,,,Fenton,MI,48430,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Arctic Armaments LLC,,,(701) 260-9148,,,Dickinson,ND,58601,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Arctic Shooting Supply,,,(719) 545-1800,,,Pueblo,CO,81001,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Ares State Armory LLC,,,(580) 695-8340,,,Lawton,OK,73501,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Arkansas Armory Inc,,,(501) 835-4867,,,Sherwood,AR,72120,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Armadillo Armory LLC,,,(210) 882-9053,,5716 MOBUD ST,SAN ANTONIO,TX,78238,5-74-029-07-7A-11336,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Preferred,false,2026-03-29 04:40:48.567356+00
Arma Machine Worx,,,(201) 221-6300,,,Bailey,CO,80421,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ARMS NORTHWEST,,,(503) 409-3595,,,Keizer,OR,97307,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Arnzen Arms,,,(952) 944-1875,,,Eden Prairie,MN,55344,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Arrowhead Gun Co, AGC",,,(435) 262-1375,,,Payson,UT,84651,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Arsenal Arms Inc,,,(305) 248-0424,,15 SE 2ND DRIVE,HOMESTEAD,FL,33030,1-59-086-01-6L-14976,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Preferred,false,2026-03-29 04:40:48.567356+00
Arsenal Supply,,,(727) 240-1165,,,Largo,FL,33770,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Artemis Enterprises of Orange County LLC,,,(407) 234-4445,,,Orlando,FL,32815,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ASR ENTERPRISES,,,(502) 321-7341,,,Shelbyville,KY,40065,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Atlanta Range and Ordnance,,,(770) 683-8755,,,Newnan,GA,30263,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ATM Firearms,,,(214) 334-9247,,,Heath,TX,75032,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ATP Gun Shop and Range,,,(843) 873-2250,,,Summerville,SC,29486,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
A-tuzi Arms LLC,,,(580) 510-0759,,,Lawton,OK,73501,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Atwells Police & Fire Equipment Company,,,(440) 354-5593,,,Painesville,OH,44077,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
ATX Tactical Solutions,,,(512) 965-1542,,,Jonestown,TX,78952,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Aultman Arms,,,(346) 314-0590,,,Texas city,TX,77590,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Automatic Accuracy,,,(501) 336-0474,,,Conway,AR,72032,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"AWA-USA, Inc.",,,(305) 828-1982,,,Hialeah,FL,33002,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
AWH Arms & Ammo,,,(757) 437-3822,,,Virginia Beach,VA,23453,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
BA Arms,,,(608) 513-1836,,,Madison,WI,53701,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Badlands Defense Group LLC/BDG Arms,,,(701) 425-6142,,,Killdeer,ND,58640,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Baier Arms,,,(864) 688-9280,,,Simpsonville,SC,29680,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bain's Gunshop,,,(920) 841-0482,,,Appleton,WI,54911,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bait Barn,,,(252) 331-7009,,,Shawboro,NC,27973,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Baltimore's Best Pawn & Gun,,,(410) 526-1011,,,Finksburg,MD,21048,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bauer Precision,,,(888) 507-9223,,5520 WHARFSIDE PL,DENTON,TX,76208,5-75-121-07-8H-40632,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Preferred,false,2026-03-29 04:40:48.567356+00
Bayou State Guns LLC,,,(337) 280-3505,,,Lafayette,LA,70501,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
B&B Arms LLC,,,(336) 382-3150,,,Randleman,NC,27317,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
B & B Firearms LLC,,,(704) 438-0642,,,Norwood,NC,28128,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
B&B Guns and Ammo,,,(325) 673-3831,,,Abilene,TX,79601,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
BEAR ARMS CO INC,,,(517) 388-0455,,,Grand Ledge,MI,48837,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bear Arms of Texas,,,(346) 703-0192,,,Magnolia,TX,77353,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Bear Creek Firearms, LLC",,,(817) 431-1100,,,Keller,TX,76244,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bear Swamp Firearms,,,(330) 590-0467,,,Wadsworth,OH,44281,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Beech Grove Firearms, Inc.",,,(317) 791-2725,,,Beech Grove,IN,46107,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Belding and Mull,,,(814) 342-1800,,,Philipsburg,PA,16866,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Ben Wilcox Gun Sales,,,(409) 722-7856,,,Port Neches,TX,77651,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Best Shot Range,,,(281) 648-7468,,,Friendswood,TX,77546,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Bestway Pawn Mart, Inc",,,(509) 248-3421,,,Yakima,WA,98901,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Big Daddy Guns,,,(855) 682-4872,,,Gainesville,FL,32601,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bigfoot Arms LLC,,,(479) 213-3710,,,Harrison,AR,72601,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
BigHammer Armory,,,(660) 596-3836,,,Moore,OK,73160,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Big Horn Trading Co.,,,(307) 675-1894,,,Sheridan,WY,82801,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Big Iron Outdoors LLC,,,(434) 981-7902,,,Ruckersville,VA,22968,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Big Rooster Firearms,,,(608) 633-1162,,,Sparta,WI,54656,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Big Tex Outdoors,,,(281) 409-5011,,,Conroe,TX,77301,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Big Tyme llc,,,(989) 915-2712,,,Roscommon,MI,48653,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
BIRDDOG CRAZY FIREARMS,,,(573) 480-4574,,,Laurie,MO,65038,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
B. King's Firearms,,,(419) 516-2636,,,Elida,OH,45826,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Black Ankle Munitions,,,(256) 434-1536,,,Scottsboro,AL,35768,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Black Dog Transfers, LLC",,,(641) 799-2666,,,Ottumwa,IA,52501,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blackfish LLC,,,(703) 234-3832,,,Chantilly,VA,20151,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Black Label Arms LLC,,,(503) 475-4173,,,West Linn,OR,97068,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Black Steel Arms & Coatings LLC,,,(304) 362-9991,,,Princeton,WV,24739,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Black Warrior Armory,,,(205) 903-2108,,,Columbiana,AK,99654,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blade-n-Barrel Sporting Goods,,,(318) 992-6891,,,Jena,LA,71342,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blind Squirrel Tactical,,,(585) 202-9121,,,Somerset,WI,54025,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blitz Customs,,,(256) 443-5821,,,Florence,AL,35630,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blue Collar Arms,,,(817) 609-2405,,,Fort Worth,TX,76101,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blue Fins Group,,,(410) 477-9244,,,Baltimore,MD,21240,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blue Line Firearms & Tactical LLC,,,(203) 880-5151,,,Trumbull,CT,06611,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Blue Steel Guns & Ammo,,,(816) 358-8004,,,Raytown,MO,64133,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"B N B Armory, LLC",,,(541) 601-0415,,,White City,OR,97503,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Bollinger Gunsmithing & Sales, LLC",,,(410) 756-5454,,,Taneytown,MD,21787,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bona Nox Firearms,,,(425) 218-0472,,,Bothell,WA,98011,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Boomers Firearms,,,(920) 860-1520,,,Manitowoc,WI,54220,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Boondock firearms,,,(814) 215-8526,,,Gallitzin,PA,16641,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"BOOTHEEL GUNS & AMMO, LLC",,,(573) 888-4867,,,Kennett,MO,63857,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bountiful Armory,,,(801) 295-2021,,,Bountiful,UT,84010,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bowman Arms,,,(907) 374-9000,,,Fairbanks,AK,99701,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Brants Custom Fishing Rods & more,,,(620) 249-8952,,,St. Paul,KS,66771,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Brazos river tactical,,,(832) 606-1326,,,Damon,TX,77430,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bret Millet / B&R Guns,,,(816) 246-1686,,,Lees Summit,MO,64002,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Brian Franklin,,,(605) 695-4305,,,Bruce,SD,57220,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Brothers In Arms,,,(830) 399-2281,,,Cedar Creek,TX,78612,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Brothers in Arms Firearms,,,(208) 591-4867,,,Filer,ID,83328,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"Brothers LA Arms, LLC",,,(985) 951-3400,,,Mandeville,LA,70448,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
BTK Firearms,,,(262) 366-8562,,,Merton,WI,53056,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Buchanan Trail Sporting Good Inc.,,,(717) 485-5996,,,McConnellsburg,PA,17233,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Buckeye Silencers,,,(419) 604-0353,,,Elida,OH,45826,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Buck Hill Firearms LLC,,,(570) 595-2636,,,Mountainhome,PA,18342,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Buck Shot Sporting Goods,,,(765) 575-8493,,,New Castle,IN,47362,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Buck Shot Sporting Goods I,,,(765) 584-4867,,,Winchester,IN,47394,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Buckwild Firearms LLC,,,(580) 618-1033,,,Sulphur,OK,73086,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bucky Arms LLC,,,(937) 280-5835,,,Huber Heights,OH,45424,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bullets and Beans LLC,,,(540) 441-3373,,,Hamilton,VA,20158,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
Bulls Eye Marksman Gun Club,,,(678) 965-5504,,,Cumming,GA,30028,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
"BullZeye Shooting Sports, LLC.",,,(910) 470-0092,,,Wilmington,NC,28404,,,,,,,,,,false,,Imported from Rebel Dealer List Google Sheets — needs verification,Standard,false,2026-03-29 04:40:48.567356+00
